ref,book_osis,chapter,verse_start,verse_end,kjv_text,cuvs_text,has_commentary,summary_en,summary_zh,bullet_points_en,bullet_points_zh,sources,evidence,model,prompt_version,created_at,status,error,keep_drop,my_edit_en,my_edit_zh,notes
1Cor 15:43,1Cor,15,43,43,,所種的是羞辱的，復活的是榮耀的；所種的是軟弱的，復活的是強壯的；,1,"The verse’s “raised in glory” is read as Paul’s eschatological doxa: a reflection of God’s own glory that carries honor. Its value is not merely external radiance but its God-centered, revelatory quality, expressing believers’ acceptance with God and participation in the consummate state of direct communion with God and Christ.",经文所说“复活的是荣耀的”指向保罗的末世“荣耀”（doxa）：反映神自己的荣耀，并带有“尊荣”。其价值不在外在光辉本身，而在其以神为中心、具有启示性的特质，彰显信徒被神接纳，并参与末世与神和基督直接相交的成全状态。,"[""“Glory” (doxa) in 1 Cor 15:43 is tied to the consummate, eschatological state and reflects God’s own glory."", ""This glory includes honor; it is not confined to the physical sphere or prized for outward radiance alone."", ""Outward glory functions as a vehicle of revelation, expressing the inward state of acceptance with God."", ""Resurrection glory belongs to a theocentric final state of immediate vision and communion with God and Christ.""]","[""林前15:43的“荣耀”（doxa）关联末世成全状态，乃对神荣耀的反映。"", ""这荣耀包含“尊荣”；不局限于物质层面，也非单为外在光辉而被看重。"", ""外在的荣耀是启示的器皿，表明被神接纳的内在状态。"", ""复活的荣耀属于以神为中心的终局状态，即与神和基督面对面的完全相交。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=194, p_index=38: Explicitly cites 1 Corinthians 15:43 while explaining Pauline doxa as eschatological, honor-laden, reflective of God’s glory, not merely physical, and tied to final communion with God.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  Jesus, while making the kingdom a present reality, yet continues to speak of it in accordance with its original eschatological usage as “the kingdom” which lies in the future (Matthew 13:43; 25:34; 26:29; Mark 9:47; Luke 12:32; 13:28, 29; 21:31). With Paul the phrase bears preponderatingly an eschatological sense, although occasionally he uses it of the present state of believers (Romans 14: 17; 1 Corinthians 4:20; 6:9, 10; 15:24," 50; Galatians 5:21; Ephesians 5:5; Colossians 1:13; 4:11; 1 Thess …""",gpt-5,v1,2025-12-16T06:46:28-05:00,ok,,,,,,,,,,,,
1Cor 15:44,1Cor,15,44,44,,所種的是血氣的身體，復活的是靈性的身體。若有血氣的身體，也必有靈性的身體。,1,"The contrast in 1 Cor 15:44 between a “natural/psychical” body and a “spiritual” body is eschatological. “Spiritual” (pneumatikos) denotes a mode of existence determined by the Holy Spirit—the constitutive principle of the age to come—not merely a principle of revelation. Paul’s distinctions in 1 Cor 2–3 (spiritual vs. fleshly; walking “as men”) parallel this, showing that the Christian state belongs to an order different from nature, though not implying believers become superhuman. Believers already partake of the future life’s quality through the Spirit, which explains both their capacity for revelation and the eschatological meaning of “spiritual.”",林前15:44中“属魂/血气的”（psychikos）与“属灵的”（pneumatikos）的对立是末世性的。“属灵”指一种由圣灵所决定的存在形态——圣灵是将来之世的本体性原则，而不仅是启示的原则。林前2–3章的区分（属灵/属肉体、按着世人而行）与此相平行，显示基督徒的状态属于不同于自然的秩序，但并不意味着人成为“超人”。信徒因圣灵已在今世部分分享将来生命的特质，因此能领受启示，也由此明白“属灵”的末世性含义。,"[""“Natural/psychical” vs “spiritual” in 1 Cor 15:44ff is an eschatological contrast."", ""The Spirit is the constitutive principle of the coming order; a “spiritual body” is determined by the Spirit."", ""Paul’s distinctions in 1 Cor 2–3 parallel 15:44 and mark the Christian state as belonging to a different order than nature, without implying superhuman status."", ""Believers already partake of the future life through the Spirit, which grounds their capacity for revelation and the meaning of “spiritual.”""]","[""林前15:44ff中“属魂/血气的”与“属灵的”的对立是末世性的。"", ""圣灵是将来秩序的决定性原则；“属灵的身体”是由圣灵所支配/适配的。"", ""林前2–3章的区分与15:44相平行，表明基督徒的状态属于不同于自然的秩序，但并非成为“超人”。"", ""因圣灵，信徒已部分分享将来生命，这解释了其能领受启示并阐明“属灵”的末世性意义。""]",eapcs — https://www.biblicaltheology.org/eapcs.pdf,"- para_id=141, p_index=25: Explicitly treats the contrast psychikos vs pneumatikos in 1 Cor 15:44ff as eschatological and links it to the Spirit as the determining principle of the coming order, with parallels from 1 Cor 2–3.",,,,,,,,,
  eapcs | https://www.biblicaltheology.org/eapcs.pdf,,,,,,,,,,,,,,,,,,,,,,
  recipient of revelation, but for the further and more specific reason, that he already partakes of that which is the distinctive quality of the future life, can he be initiated into the mysteries of the latter. The Spirit is the source of the eschatological musthrion both in the sphere of being and in the sphere of revelation. Hence also in verse 11 Paul draws a formal distinction between the pneuma of the kosmoj and the pneuma to ek tou qeou," which once more shows that the Spirit is considered …""",gpt-5,v1,2025-12-16T06:47:23-05:00,ok,,,,,,,,,,,,,,
1Cor 15:45,1Cor,15,45,45,,經上也是這樣記着說：「首先的人亞當成了有靈〔靈：或作血氣〕的活人」；末後的亞當成了叫人活的靈。,1,"Paul uses Genesis 2:7 to ground the contrast in 1 Cor 15:45 between the first Adam as a “living soul” (psychical body) and the last Adam as “life‑giving Spirit” (pneumatic body). The psychical body, given at creation, is animated by the natural soul—adequate for earthly life but vulnerable to death once sin enters; corruption and weakness are not inherent necessities of creation itself. Paul avoids calling the creation body “fleshly” (sarkikos) because that term is tied to sin. He argues typologically: the creation-body prefigures a higher, resurrection body, so if a psychical body exists, a pneumatic body also exists. He rejects Philo’s two‑creation scheme and does not teach a change of bodily substance; “from heaven” does not denote material. Positively, the believer’s resurrection body will bear Christ’s image.",保罗在林前15:45借创世记2:7确立对比：第一亚当是“有灵的活人”（心理之体/属魂之体），末后的亚当是“叫人活的灵”（属灵之体）。心理之体是创造时所赐、由“魂”作生命原理，足以维持地上的生命，但在罪进入后会落入败坏与死亡；这些软弱并非创造本身必然的结果。保罗避免用与罪相关的“属肉体”（sarkikos）描述创造之体。其论证是预表性的：受造之体预示更高的复活之体——“若有属魂之体，也必有属灵之体”。他拒绝斐洛的“两重创造”解释，也未教导身体物质被更换；“属/从天上来”并非指材料。积极而言，信徒的复活之体将照着基督的形像。,"[""Dominant contrast: soma psychikon vs. soma pneumatikon; corruption/weakness follow sin, not creation itself."", ""The psychical body was given at creation and is animated by the natural soul; adequate for earthly life but not for the immortal, heavenly plane."", ""Paul avoids sarkikos for creation language because sarkikos is tied to sin."", ""Typological argument: the creation-body prefigures the higher resurrection body—if a psychical body exists, a pneumatic body also exists."", ""Proof is grounded in Genesis 2:7; Paul rejects Philo’s two‑creation reading and the idea that 1 Cor 15:45b quotes Gen 1:27."", ""“From heaven” (15:47) does not describe material; the pneumatic body is not made of spirit‑substance; substance is not specified (cf. 15:50)."", ""Positively, believers’ resurrection body will be conformed to Christ’s (15:49).""]","[""核心对比：属魂之体（soma psychikon）与属灵之体（soma pneumatikon）；败坏与软弱源于罪的进入，并非创造本身的必然。"", ""心理之体出自创造，由“魂”赋生，只适合地上生命，不能适应不朽的天上境界。"", ""保罗谈创造时避用与罪相关的“属肉体”（sarkikos）。"", ""预表论证：创造之体预示更高的复活之体——“若有属魂之体，也必有属灵之体”。"", ""根据创2:7为证；拒绝斐洛的“两重创造”解读，也否认将林前15:45下半句视为引自创1:27。"", ""“属/从天上来”（15:47）并非指物质成分；属灵之体不是由“灵的物质”构成；经文本身未指明物质（参15:50）。"", ""积极面：信徒的复活之体将与基督的形像相符（15:49）。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=188, p_index=32: Explains the psychical vs. pneumatic body contrast in 1 Cor 15:42–50, grounds 15:45 in Gen 2:7, rejects Philo’s two‑creation reading of 15:45b, clarifies typology from Adam to Christ, and denies a change of bodily substance.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  in 15:42, 43. Four contrasts are named; the first three in each case appear to be the result of the fourth. The dominating antithesis is that between the soma psuchikon and the soma pneumatikon. Still Paul can scarcely mean to teach that “corruption,” “dishonor,” “weakness” are in the same sense necessary and natural results of the “psychical” character of the earthly body," as the corresponding opposites are necessary and natural concomitants of the pneumatic character of the resurrection body. …""",gpt-5,v1,2025-12-16T06:48:16-05:00,ok,,,,,,,,,,,,,,
1Cor 15:45-49,1Cor,15,45,49,,45. 經上也是這樣記着說：「首先的人亞當成了有靈〔靈：或作血氣〕的活人」；末後的亞當成了叫人活的靈。,,,,,,,,,,,,,,,,
46. 但屬靈的不在先，屬血氣的在先，以後纔有屬靈的。,,,,,,,,,,,,,,,,,,,,,,
47. 頭一個人是出於地，乃屬土；第二個人是出於天。,,,,,,,,,,,,,,,,,,,,,,
48. 那屬土的怎樣，凡屬土的也就怎樣；屬天的怎樣，凡屬天的也就怎樣。,,,,,,,,,,,,,,,,,,,,,,
"49. 我們既有屬土的形狀，將來也必有屬天的形狀。""",1,"Both excerpts comment on 1 Cor 15:45-49 by highlighting Paul’s Adam–Christ contrast and the Spirit-shaped nature of resurrection life. The passage is read as teaching that (1) the resurrection life and state are “pneumatic,” i.e., originating in and sustained by the Holy Spirit, with Christ as the life‑giving Spirit, and (2) Adam and Christ represent two successive stages in God’s purpose for humanity—original rectitude (earthly/natural) and consummate glory (heavenly/spiritual)—so Christ’s work surpasses mere restoration to Adam’s state and ushers believers into glorious, heavenly likeness.",两段材料都在诠释林前15:45-49：保罗以“亚当—基督”的对比说明复活生命与复活状态是“属灵的”（由圣灵发起并维系），基督为“叫人活的灵”；同时，亚当与基督代表神对人类计划的两个阶段——起初的正直（属土/属血气）与成全的荣耀（属天/属灵）。因此，基督所成就的超越了把人仅仅带回亚当的原状，而是引入属天的荣耀形像。,"[""Resurrection life and the ongoing resurrection state depend on the Holy Spirit; Paul frames this pneumatically (1 Cor 15:45-49)."", ""Christ as the last Adam is the life‑giving Spirit, linking believers’ resurrection to the Spirit’s power and to Christ’s own resurrection."", ""Adam and Christ typify two successive stages in God’s plan: from earthly rectitude to heavenly glory."", ""Christ accomplishes more than restoring Adam’s loss; He elevates humanity to a glorified, heavenly likeness.""]","[""复活生命与复活状态皆依赖圣灵；保罗以“属灵/圣灵主导”的方式来阐释（林前15:45-49）。"", ""末后的亚当（基督）是“叫人活的灵”，把信徒的复活与圣灵的大能、并与基督自己的复活相连。"", ""亚当与基督代表神计划的两个阶段：从属土的“起初正直”到属天的“成全荣耀”。"", ""基督的成就不只是恢复亚当所失，乃是使人进入属天、得荣耀的形像。""]",ent — https://www.biblicaltheology.org/ent.pdf | tp — https://www.biblicaltheology.org/tp.pdf,"- para_id=184, p_index=28: Explicitly cites 1 Cor 15:45-49 to argue that both the origin and continuance of resurrection life are dependent on the Spirit, stressing the pneumatic character of resurrection.",,,,,,,,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  3. The Resurrection of Believers: The resurrection of believers bears a twofold aspect. On the one hand it belongs to the forensic side of salvation. On the other hand it belongs to the pneumatic transforming side of the saving process. Of the former, traces appear only in the teaching of Jesus (Matthew 5:9; 22:29-32; Luke 20: 35, 36). Paul clearly ascribes to the believer’s resurrection a somewhat similar forensic significance as to that of Christ (Romans 8:10, 23; 1 Corinthians 15:30-32, 55-58 …,,,,,,,,,,,,,,,,,,
#NAME?, p_index=5: States that in 1 Cor 15:45-49 Paul sets Adam and Christ as two successive stages—rectitude and glory—showing Christ’s work surpasses mere restoration.,,,,,,,,,,,,,,,,,,,,,
  tp | https://www.biblicaltheology.org/tp.pdf,,,,,,,,,,,,,,,,,,,,,,
  the obedience of Christ (Rom. 5:12-20), though this is in itself one of the boldest and grandest contrasts ever drawn, but, recognizing that Christ accomplishes far more than the restoration of what Adam ever lost, he places the two over against each other in 1 Corinthians 15:45-49 as the representatives of two successive stages in the carrying out of God’s sublime purpose for humanity," in such a way that the state of rectitude and the state of glory are by a sudden flash of light seen in their …""",gpt-5,v1,2025-12-16T06:49:06-05:00,ok,,,,,,,,,,,,,
1Cor 15:47,1Cor,15,47,47,,頭一個人是出於地，乃屬土；第二個人是出於天。,1,"Both excerpts treat Paul’s contrast between the first man (Adam) and the second man (Christ) to clarify what “of/from heaven” means. The first man is “of the earth” in the order of creation and, once sin enters, his psychical (natural) body is subject to corruption; the second man is “of heaven,” indicating a heavenly origin/sphere and mode, not a different material substance. Paul avoids sarkikos (fleshly) because it is tied to sin, and he does not claim the resurrection body is made of “spirit” as a substance. Genesis 2:7 undergirds a typological argument: the first creation-body prefigures the higher, pneumatic resurrection body realized in Christ, whose image believers will bear. “From heaven” also denotes God’s supernatural activity and the heavenly pattern to which realities conform, not merely a reverent circumlocution for God.",两段材料都阐明保罗在林前15:47中对第一人（亚当）与第二人（基督）的对比，以说明“出于/从天”的含义。第一人“出于地、属土”，在创造次序中居先；当罪进入后，他“属魂/天然的身体”就落入败坏。第二人“出于天”，强调的是天上的来源与领域、神的作为方式，而不是指一种不同的物质本质。保罗回避与罪相关的“属肉体”（sarkikos），也并未主张复活身体是用“灵”这种物质构成。创2:7为此提供预表基础：起初的创造之身预示更高的“属灵的”复活之身，这在基督里得成全，信徒将效法基督的形像。“从天而来”也表达神超自然的行动与天上的范式，而非仅以“天”代替“神”的敬语。,"[""Paul’s main antithesis is between the psychical (natural) body and the pneumatic (spiritual) body; the former was given at creation and becomes corruptible when sin enters, while the latter belongs to resurrection life."", ""In 1 Cor 15:47, “of/from heaven” describes origin/sphere and divine mode, not material composition; Paul avoids sarkikos (linked with sin) and does not teach a body made of “spirit.”"", ""Genesis 2:7 supports a typological argument: the first creation-body prefigures a higher pneumatic body fulfilled in Christ; believers’ resurrection bodies will bear his image."", ""“From heaven” signifies supernatural origin and the heavenly pattern of God’s activity, not merely a circumlocution for “God.”""]","[""保罗的核心对比是“属魂/天然的身体”与“属灵的身体”；前者在创造时所赐，因罪进入而成败坏，后者属复活生命。"", ""林前15:47的“出于/从天”描述的是来源/领域与神作工的方式，而非物质成分；保罗回避与罪相关的“属肉体”，也未教导复活身体是“灵性物质”做成的。"", ""创2:7支撑其预表性论证：最初的创造之身预示更高的属灵之身，在基督里成全；信徒复活的身体要效法基督的形像。"", ""“从天而来”表示超自然的来源与天上的范式，而非仅仅用“天”代替“神”的敬称。""]",ent — https://www.biblicaltheology.org/ent.pdf | kg — https://www.biblicaltheology.org/kg.pdf,"- para_id=188, p_index=32: Explains the psychical vs. pneumatic body, links corruption to sin (not creation), clarifies that “of heaven” in 1 Cor 15:47 does not denote heavenly material, and grounds the typology in Gen 2:7 with Christ’s resurrection body ",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  in 15:42, 43. Four contrasts are named; the first three in each case appear to be the result of the fourth. The dominating antithesis is that between the soma psuchikon and the soma pneumatikon. Still Paul can scarcely mean to teach that “corruption,” “dishonor,” “weakness” are in the same sense necessary and natural results of the “psychical” character of the earthly body, as the corresponding opposites are necessary and natural concomitants of the pneumatic character of the resurrection body. …,,,,,,,,,,,,,,,,,,
#NAME?, p_index=2: Uses 1 Cor 15:47 in arguing that “of heaven” denotes supernatural origin and heavenly pattern (mode of God’s activity), not merely a substitute for the divine name.,,,,,,,,,,,,,,,,,,,,
  kg | https://www.biblicaltheology.org/kg.pdf,,,,,,,,,,,,,,,,,,,,,,
  Our Lord never gives the name “kingdom of God” to the Old Testament theocracy, but always denotes by it the new form which God’s reign is to assume in the near or remote future. The law and the prophets are until John, from that time the kingdom of God is preached. In Matthew 8: 12, the Jews are called “sons of the kingdom,"” not as actual possessors but as heirs of the same. And in the same sense Jesus declares that the kingdom of God will be taken away from them and given to another nation (Mat …""",gpt-5,v1,2025-12-16T06:50:20-05:00,ok,,,,,,,,,,,,,,
1Cor 15:49,1Cor,15,49,49,,我們既有屬土的形狀，將來也必有屬天的形狀。,1,"The author uses 1 Cor 15:49 to affirm that believers will in the future bear the heavenly image—i.e., their resurrection body will be patterned after Christ’s resurrection body. This supports two points: (1) there is no present, on-earth preformation of the spiritual body; the heavenly image belongs to the eschatological transformation, and (2) Paul gives a formal (not material) description: “spiritual/pneumatic” speaks of mode and power of life, not substance, and v.49 positively teaches conformity to Christ’s image without specifying the body’s material.",作者以林前15:49说明：信徒将来要有属天者的形状——复活的身体将按基督复活之身的样式而得。由此得出两点：(1) 属灵身体并非今世在地上逐步成形；属天形象属于末世复活时的改变；(2) 保罗所给的是“形式/性质”的描述而非物质成分——“属灵（气的）身体”指生命方式与能力，不指构成材料，15:49积极教导的是与基督形象相符，却未界定取代“血肉”的物质。,"[""1 Cor 15:49 teaches believers will bear the image of the heavenly man (Christ); our resurrection body is patterned after His."", ""The bearing of the heavenly image is future (at resurrection/parousia), so there is no on-earth preformation of the spiritual body."", ""“Pneumatic/spiritual body” denotes the mode/power of life, not a body made of spirit-substance; v.49 provides a formal likeness to Christ rather than material details."", ""Within 1 Cor 15’s argument, v.49 supplies the positive content about the resurrection body: conformity to Christ’s image.""]","[""林前15:49表明信徒将会有属天者（基督）的形象；复活的身体以基督的身体为样式。"", ""属天形象是将来的（在复活/主再来时），因此今世并无属灵身体在地上预成。"", ""“属灵/气的身体”指生命的方式与能力，而非“由灵构成”的物质；15:49提供的是与基督相符的形式性描述。"", ""在林前15章的论证中，15:49给出有关复活身体的积极内容：与基督形象相合。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=185, p_index=29: Lists 1 Cor 15:49 among texts that exclude any present preformation of the spiritual body, placing the heavenly image in the eschatological future.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  culmination of a pneumatic change which the body in this life undergoes. There is no preformation of the spiritual body on earth. Romans 8:10, 11; 1 Corinthians 15:49; 2 Corinthians 5:1, 2; Philippians 3:12 positively exclude this, and 2 Corinthians 3:18; 4:7-18 do not require it. The glory into which believers are transformed through the beholding (or reflecting) of the glory of Christ as in a mirror is not a bodily but inward glory, produced by illumination of the gospel. And the manifestation …,,,,,,,,,,,,,,,,,,
#NAME?, p_index=32: Explicitly states that the only positive thing we learn is formal: the believer’s resurrection body will be the image of Christ (citing 1 Cor 15:49).,,,,,,,,,,,,,,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  in 15:42, 43. Four contrasts are named; the first three in each case appear to be the result of the fourth. The dominating antithesis is that between the soma psuchikon and the soma pneumatikon. Still Paul can scarcely mean to teach that “corruption,” “dishonor,” “weakness” are in the same sense necessary and natural results of the “psychical” character of the earthly body," as the corresponding opposites are necessary and natural concomitants of the pneumatic character of the resurrection body. …""",gpt-5,v1,2025-12-16T06:51:03-05:00,ok,,,,,,,,,,,,,,
1Cor 15:50,1Cor,15,50,50,,弟兄們，我告訴你們說，血肉之體不能承受神的國，必朽壞的不能承受不朽壞的。,1,"These excerpts treat 1 Cor 15:50 as the point where Paul briefly touches the question of the resurrection body’s substance—only negatively—stating that “flesh and blood” (the present mortal, corruptible mode of life) cannot inherit God’s kingdom. Throughout the passage Paul’s main emphasis is on a qualitative/kind difference between the present body and the resurrection body, not on material composition. He does not specify what replaces “flesh and blood.” The term “spiritual” (pneumatikon) denotes a body empowered/suited to the Spirit, not one made of a different substance.",这些段落指出：保罗在林前15:50才以否定式触及复活身体的“物质”问题——“血肉之体不能承受神的国”，意指现今必朽坏的血肉生命形态不能承受神国。整段论证的重点在于身体“种类/性质”的差异，而非“物质”差异；保罗并未说明将以何种“物质”取代血肉之体。“属灵的”（pneumatikon）指由圣灵赋能、适配天上生命的身体，并非由“灵”这类新物质构成。,"[""v.50 uniquely addresses the substance issue, but only negatively: “flesh and blood cannot inherit the kingdom of God.”"", ""Paul’s main concern in 1 Cor 15 is a difference of kind/quality between the present and resurrection bodies, not sameness or change of substance."", ""He does not disclose what will replace “flesh and blood.”"", ""“Spiritual body” (pneumatikon) means a body suited/empowered by the Spirit, not a body made of pneuma as a different material."", ""Paul intentionally avoids specifying material composition (he even avoids giving a material opposite to “earthly”).""]","[""15:50 独特地触及“物质”问题，但仅以否定式陈述：“血肉之体不能承受神的国。”"", ""保罗在本段主要强调现今身体与复活身体在“种类/性质”上的差异，而非物质组成的差异。"", ""他并未说明会以何物取代“血肉之体”。"", ""“属灵的身体”意指受圣灵支配、适配天上领域的身体，并非由“灵”这种物质构成。"", ""保罗有意回避具体的物质说明（甚至避免给出“属地”的物质性对立面）。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=187, p_index=31: States that only at v.50 is the deeper question of substance touched; the broader argument concerns kind rather than substance.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  4. The Resurrection-Body: The main passage informing us as to the nature of the resurrection body is 1 Corinthians 15:35-58. The difficulty Paul here seeks to relieve does not concern the substance of the future body, but its kind (compare 1 Corinthians 15:35 “With what manner of body do they come?”). Not until 1 Corinthians 15:50 is the deeper question of difference in substance touched upon. The point of the figure of “sowing” is not that of identity of substance, but rather this, that the imp …,,,,,,,,,,,,,,,,,,,
#NAME?, p_index=32: Affirms that v.50 addresses substance only negatively (“flesh and blood cannot inherit”), that Paul does not say what replaces them, and clarifies the non-substantial meaning of “spiritual.”,,,,,,,,,,,,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  in 15:42, 43. Four contrasts are named; the first three in each case appear to be the result of the fourth. The dominating antithesis is that between the soma psuchikon and the soma pneumatikon. Still Paul can scarcely mean to teach that “corruption,” “dishonor,” “weakness” are in the same sense necessary and natural results of the “psychical” character of the earthly body," as the corresponding opposites are necessary and natural concomitants of the pneumatic character of the resurrection body. …""",gpt-5,v1,2025-12-16T06:52:08-05:00,ok,,,,,,,,,,,,,,
1Cor 15:51-53,1Cor,15,51,53,,51. 我如今把一件奧祕的事告訴你們：我們不是都要睡覺，乃是都要改變，,,,,,,,,,,,,,,,,
52. 就在一霎時，眨眼之間，號筒末次吹響的時候。因號筒要響，死人要復活成為不朽壞的，我們也要改變。,,,,,,,,,,,,,,,,,,,,,,
"53. 這必朽壞的總要變成〔變成：原文作穿；下同〕不朽壞的，這必死的總要變成不死的。""",1,"The paragraph treats 1 Cor 15:51-53 as a key text on the transformation at the Parousia, restricted to believers. It contrasts Paul’s metaphors: in 2 Cor 5 the heavenly body is ""put on"" over the earthly (mortal swallowed up by life), while in 1 Cor 15 the old body is changed into the new. Two readings of 1 Cor 15:51-53 are noted: (1) it generally describes the transformation applicable to both the resurrected dead and those still alive, supporting continuity between present and resurrection bodies; (2) Paul expected all his readers to survive and be changed alive. The author judges more plausible the reading that ""not all"" will die, but all—both dead and surviving—will be changed at the Parousia, acknowledging textual/interpretive difficulties reflected in early variant readings.",本段将林前15:51-53视为论到主再来时改变（只涉及信徒）的关键经文。它对比保罗的比喻：林后5强调“穿上”属天之体，使必死的被生命吞灭；而林前15强调由旧身体“改变”为新身体。对林前15:51-53有两种解读：（1）这是对过程的笼统描述，既适用于复活的死人也适用于当时仍活着的人，此解读支持今世身体与复活身体之间的延续性；（2）保罗期望他与读者都存活到主来并当场被改变。作者更倾向的解读是将否定词连于“众人”：并非“都要睡”，但无论已死或存活，“都要改变”，且承认经文存在文本与诠释上的难点，早期改动读法已反映此困难。,"[""Applies the passage to the transformation of believers at the Parousia; no change is taught for unbelievers’ bodies."", ""Notes two metaphors: 2 Cor 5 portrays \""putting on\"" the heavenly over the earthly; 1 Cor 15 portrays the old body changed into the new."", ""Two readings of 1 Cor 15:51-53: a general process for both raised and living (implying bodily continuity) vs. expectation that all would survive to be changed alive."", ""Prefers the reading: not all will die, but all (dead and living) will be changed at the Parousia."", ""Acknowledges textual/interpretive difficulties, seen in early variant attempts.""]","[""此段将经文用于说明主再来时信徒身体的改变；新约未教导不信者的身体会改变。"", ""比喻对比：林后5为“穿上”属天之体；林前15为旧体被改变成新体。"", ""对林前15:51-53的两种理解：一是对死人复活与活人改变的通用描述（支持身体的延续性）；二是保罗以为所有人都将存活至主来而被改变。"", ""作者更倾向：不是都要睡，但无论死的或活的，到了主再来都要改变。"", ""承认文本与诠释的难点，早期变更读法反映了这一点。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=189, p_index=33: Directly discusses 1 Cor 15:51-53, contrasts metaphors with 2 Cor 5 and Phil 3, evaluates interpretive options, and argues for the reading that not all will die but all will be changed.",,,,,,,,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  VII. The Change of Those Living at the Parousia This is confined to believers. Of a change in the body of non-believers found living or raised at the parousia the New Testament nowhere speaks. The passages referring to this subject are 1 Corinthians 15:51-53; 2 Corinthians 5:1-5; Philippians 3:20, 21. The second of these has already been discussed: It represents the change under the figure of a putting-on of the heavenly body over the earthly body," in result of which what is mortal is swallowed …""",gpt-5,v1,2025-12-16T06:52:51-05:00,ok,,,,,,,,,,,,,,,,
1Cor 15:52,1Cor,15,52,52,,就在一霎時，眨眼之間，號筒末次吹響的時候。因號筒要響，死人要復活成為不朽壞的，我們也要改變。,1,The excerpt links 1 Corinthians 15:52 to the resurrection at Christ’s parousia. It argues that the trumpet/sounds accompany Christ’s descent (cf. 1 Thess 4:16) and that the dead rise as he descends; 1 Cor 15:52 is cited as a parallel text about the final trumpet at which the dead are raised and believers are transformed. It also identifies the ‘trump of God’ with the great eschatological trumpet.,该段将林前15:52与主再临时的复活联系起来，指出号筒（声音）伴随基督从天降临（参帖前4:16），死人在其降临过程中复活；林前15:52作为平行经文见证末次号筒吹响时死人复活、信徒改变。并将“神的号筒”与末世的“大号”相对应。,"[""Resurrection coincides with the parousia and arrival of the future age."", ""From 1 Thess 3:13; 4:16, the dead are inferred to rise before Christ’s descent is completed."", ""The sounds (notably the trumpet) accompany the descent; 1 Cor 15:52 is a parallel witness to the final trumpet at resurrection/Transformation."", ""‘The trump of God’ is equated with the great eschatological trumpet.""]","[""复活与主再临及未来世代的来到同时发生。"", ""据帖前3:13；4:16推断，死人在基督降临尚未完成时已经复活。"", ""号筒等声音伴随主的降临；林前15:52作为关于末次号筒与复活/改变的平行见证。"", ""“神的号筒”等同于末世性的“大号”。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=178, p_index=22: Connects 1 Cor 15:52 with the trumpet/sounds accompanying the parousia and the timing of the resurrection as Christ descends.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
"  VI. The Resurrection The resurrection coincides with the parousia and the arrival of the future aeon (Luke 20:35; John 6:40; 1 Thessalonians 4:16). From 1 Thessalonians 3:13; 4:16 it has been inferred that the dead rise before the descent of Christ from heaven is completed; the sounds described in the later passage are then interpreted as sounds accompanying the descent (compare Exodus 19:16; Isaiah 27:13; Matthew 24:31; 1 Corinthians 15:52; Hebrews 12:19; Revelation 10:7; 11:15; “the trump of G …""",gpt-5,v1,2025-12-16T06:53:22-05:00,ok,,,,,,,,,,,,,,,,,,
